Healthy, Infected, Recovered, Immune
96614,1905,1481,0
96586,1924,1490,0
96562,1939,1499,0
96530,1960,1510,0
96507,1971,1522,0
96493,1966,1541,0
96473,1974,1553,0
96448,1994,1558,0
96422,2004,1574,0
96393,2009,1598,0
96372,2020,1608,0
96351,2028,1621,0
96333,2034,1633,0
96310,2044,1646,0
96284,2058,1658,0
96262,2063,1675,0
96240,2069,1691,0
96211,2080,1709,0
96189,2087,1724,0
96166,2099,1735,0
96133,2114,1753,0
96097,2132,1771,0
96070,2139,1791,0
96047,2151,1802,0
96024,2159,1817,0
96004,2170,1826,0
95965,2196,1839,0
95926,2218,1856,0
95894,2234,1872,0
95863,2241,1896,0
95826,2267,1907,0
95791,2294,1915,0
95763,2308,1929,0
95733,2327,1940,0
95700,2341,1959,0
95674,2359,1967,0
95633,2383,1984,0
95607,2400,1993,0
95571,2427,2002,0
95544,2444,2012,0
95508,2461,2031,0
95473,2480,2047,0
95442,2495,2063,0
95413,2511,2076,0
95388,2523,2089,0
95361,2530,2109,0
95335,2547,2118,0
95293,2581,2126,0
95253,2612,2135,0
95217,2636,2147,0
95180,2657,2163,0
95154,2663,2183,0
95128,2669,2203,0
95099,2688,2213,0
95070,2708,2222,0
95046,2722,2232,0
95016,2735,2249,0
94982,2757,2261,0
94944,2775,2281,0
94918,2786,2296,0
94885,2792,2323,0
94852,2811,2337,0
94822,2825,2353,0
94794,2836,2370,0
94767,2846,2387,0
94745,2853,2402,0
94711,2870,2419,0
94675,2898,2427,0
94638,2921,2441,0
94605,2934,2461,0
94563,2952,2485,0
94530,2967,2503,0
94495,2974,2531,0
94452,2996,2552,0
94420,3007,2573,0
94385,3022,2593,0
94352,3033,2615,0
94327,3041,2632,0
94302,3041,2657,0
94267,3059,2674,0
94230,3074,2696,0
94196,3078,2726,0
94159,3098,2743,0
94122,3115,2763,0
94090,3129,2781,0
94050,3147,2803,0
94016,3166,2818,0
93984,3172,2844,0
93952,3184,2864,0
93914,3204,2882,0
93882,3214,2904,0
93849,3231,2920,0
93815,3249,2936,0
93795,3253,2952,0
93756,3274,2970,0
93730,3276,2994,0
93683,3311,3006,0
93645,3327,3028,0
93607,3338,3055,0
93570,3353,3077,0
93531,3371,3098,0
93498,3378,3124,0
93460,3396,3144,0
93423,3412,3165,0
93381,3428,3191,0
93346,3445,3209,0
93317,3442,3241,0
93281,3458,3261,0
93232,3481,3287,0
93200,3482,3318,0
93163,3498,3339,0
93120,3520,3360,0
93079,3532,3389,0
93040,3450,3510,0
92993,3477,3530,0
92955,3492,3553,0
92918,3509,3573,0
92892,3513,3595,0
92865,3519,3616,0
92827,3540,3633,0
92788,3553,3659,0
92748,3573,3679,0
92713,3589,3698,0
92685,3592,3723,0
92650,3604,3746,0
92615,3623,3762,0
92584,3629,3787,0
92549,3640,3811,0
92498,3670,3832,0
92461,3678,3861,0
92424,3687,3889,0
92376,3711,3913,0
92329,3729,3942,0
92294,3737,3969,0
92254,3756,3990,0
92217,3764,4019,0
92169,3782,4049,0
92133,3782,4085,0
92095,3790,4115,0
92058,3793,4149,0
92019,3785,4196,0
91976,3795,4229,0
91932,3815,4253,0
91890,3824,4286,0
91842,3835,4323,0
91801,3846,4353,0
91760,3859,4381,0
91722,3870,4408,0
91693,3872,4435,0
91648,3880,4472,0
91597,3896,4507,0
91561,3900,4539,0
91526,3915,4559,0
91492,3915,4593,0
91456,3929,4615,0
91417,3938,4645,0
91386,3934,4680,0
91362,3929,4709,0
91320,3927,4753,0
91277,3937,4786,0
91232,3952,4816,0
91192,3964,4844,0
91157,3975,4868,0
91118,3982,4900,0
91071,4003,4926,0
91037,4007,4956,0
90998,4016,4986,0
90963,4009,5028,0
90920,4021,5059,0
90880,4035,5085,0
90841,4039,5120,0
90806,4050,5144,0
90773,4057,5170,0
90737,4061,5202,0
90699,4072,5229,0
90664,4080,5256,0
90629,4084,5287,0
90582,4082,5336,0
90552,4082,5366,0
90508,4098,5394,0
90467,4110,5423,0
90427,4117,5456,0
90384,4141,5475,0
90341,4156,5503,0
90296,4169,5535,0
90247,4182,5571,0
90211,4189,5600,0
90166,4200,5634,0
90110,4232,5658,0
90062,4245,5693,0
90018,4268,5714,0
89959,4285,5756,0
89910,4309,5781,0
89856,4323,5821,0
89808,4338,5854,0
89750,4358,5892,0
89704,4373,5923,0
89654,4386,5960,0
89605,4402,5993,0
89560,4408,6032,0
89505,4437,6058,0
89453,4459,6088,0
89393,4481,6126,0
89342,4505,6153,0
89290,4528,6182,0
89248,4541,6211,0
89209,4547,6244,0
89179,4543,6278,0
89135,4558,6307,0
89067,4583,6350,0
89022,4594,6384,0
88953,4622,6425,0
88905,4635,6460,0
88857,4645,6498,0
88805,4646,6549,0
88752,4669,6579,0
88699,4682,6619,0
88653,4687,6660,0
88605,4709,6686,0
88559,4714,6727,0
88513,4726,6761,0
88460,4746,6794,0
88407,4755,6838,0
88367,4748,6885,0
88313,4771,6916,0
88254,4825,6921,0
88194,4885,6921,0
88122,4957,6921,0
88073,5000,6927,0
88026,5034,6940,0
87980,5056,6964,0
87928,5043,7029,0
87866,5067,7067,0
87805,5087,7108,0
87744,5120,7136,0
87684,5151,7165,0
87630,5170,7200,0
87575,5192,7233,0
87519,5200,7281,0
87469,5224,7307,0
87422,5237,7341,0
87367,5261,7372,0
87317,5278,7405,0
87264,5297,7439,0
87217,5301,7482,0
87142,5338,7520,0
87075,5373,7552,0
87031,5381,7588,0
86973,5390,7637,0
86907,5419,7674,0
86846,5426,7728,0
86795,5427,7778,0
86727,5457,7816,0
86665,5483,7852,0
86606,5509,7885,0
86552,5530,7918,0
86495,5555,7950,0
86450,5549,8001,0
86392,5565,8043,0
86333,5579,8088,0
86265,5603,8132,0
86206,5622,8172,0
86133,5650,8217,0
86049,5685,8266,0
85979,5725,8296,0
85913,5749,8338,0
85848,5787,8365,0
85780,5818,8402,0
85730,5813,8457,0
85685,5814,8501,0
85629,5835,8536,0
85569,5864,8567,0
85507,5896,8597,0
85445,5928,8627,0
85388,5962,8650,0
85318,5982,8700,0
85258,5998,8744,0
85202,6003,8795,0
85136,6028,8836,0
85088,6037,8875,0
85030,6061,8909,0
84962,6076,8962,0
84889,6108,9003,0
84812,6152,9036,0
84733,6186,9081,0
84680,6206,9114,0
84615,6216,9169,0
84551,6247,9202,0
84492,6267,9241,0
84411,6310,9279,0
84356,6334,9310,0
84286,6373,9341,0
84207,6418,9375,0
84129,6457,9414,0
84054,6485,9461,0
83996,6492,9512,0
83936,6507,9557,0
83893,6511,9596,0
83828,6532,9640,0
83770,6540,9690,0
83709,6558,9733,0
83626,6606,9768,0
83564,6634,9802,0
83492,6650,9858,0
83436,6652,9912,0
83368,6655,9977,0
83297,6680,10023,0
83225,6695,10080,0
83175,6702,10123,0
83122,6698,10180,0
83067,6705,10228,0
83006,6709,10285,0
82939,6724,10337,0
82876,6721,10403,0
82818,6723,10459,0
82746,6748,10506,0
82676,6755,10569,0
82611,6749,10640,0
